Month,#Sales
2019-01,48468
2019-02,43648
2019-03,50423
2019-04,46565
2019-05,46667
2019-06,41979
2019-07,43297
2019-08,41633
2019-09,42746
2019-10,46495
2019-11,43080
2019-12,45062
2020-01,43283
2020-02,40277
2020-03,21630
2020-04,97
2020-05,1707
2020-06,16600
2020-07,46495
2020-08,39698
2020-09,49759
2020-10,41782
2020-11,30113
2020-12,27269
2021-01,30627
2021-02,18861
2021-03,32494
2021-04,24394
2021-05,27007
2021-06,28978
2021-07,30507
2021-08,27619
2021-09,29849
2021-10,25996
2021-11,27546
